카드명,삼성카드_taptap_O,삼성카드_&_MILEAGE_PLATINUM(스카이패스),삼성_iD_달달할인_카드,삼성_iD_EV_카드,삼성_iD_ON_카드,국민행복_삼성카드_V2,네이버페이_taptap,taptap_DIGITAL,삼성_iD_ALL_카드,삼성_iD_PET_카드,신한카드_MY_CAR,신한카드_Deep_Dream,신한카드_Mr.Life,신한카드_Deep_Oil,신한카드_Deep_Dream_Platinum+,신한_Hi-Point_카드,알뜰교통_신한카드,신한카드_RPM+,메리어트_본보이™_더_베스트_신한카드,아시아나_신한카드_Air_1.5,KB국민_My_WE:SH_카드,KB국민_굿데이카드,KB국민_알뜰교통플러스카드,KB국민_청춘대로_톡톡카드,KB국민_에버랜드_판다카드,KB국민_톡톡_my_point_카드,THE_CJ_KB국민카드,HERITAGE_Smart_[대한항공_마일리지형],KB국민_WE:SH_All_카드,KB국민_Liiv_M_Ⅱ카드,the_Green_Edition2,현대카드ZERO_Edition2(할인형),the_Red_Edition5,현대카드M_BOOST,the_Pink,the_Purple_osée,현대카드Z_family,스타벅스_현대카드,현대카드Z_work,현대카드X_BOOST,LOCA_CLASSIC_(로카_클래식),LOCA_365,롯데_국민행복카드,LOCA_LIKIT_1.2,LOCA_LIKIT,롯데_포인트플러스_카드,롯데백화점_롯데카드,LOCA_나누기_카드,롤라카드,경차_smart_롯데카드,카드의정석_EVERY_1,카드의정석_EVERY_MILE_SKYPASS,카드의정석SHOPPING,NU_Uniq,카드의정석_UNTACT,카드의정석_WOWRI,NU_Nature,카드의정석_MILEAGE_SKYPASS,카드의정석_MILEAGE_Asiana_Club,우리_국민행복카드_S2,알뜰교통_우리카드,DA@카드의_정석,카드의정석_UNTACT_AIR,Diners_Club_MILEAGE,NU_Uniq_Point,다둥이행복카드,NU_Blanc,카드의정석_UniMile,카드의정석_UniMile_in_JEJU,우리카드_WON_POINT_AIR,카드의정석_APT,카드의정석_댕댕냥이,그랑블루_1st,NU_Biz,Hole_In_:_WON_우리카드,카드의정석L.POINT,Diners_Club_POINT,우리카드_WON_DISCOUNT_AIR,우리_햇살론카드
삼성카드_taptap_O,1.0,0.4,0.2,0.0,0.6,0.2,0.316227766,0.2,0.4,0.2,0.2236067977,0.2,0.2,0.4,0.2,0.6,0.4,0.2,0.316227766,0.0,0.2,0.4,0.6,0.6,0.0,0.4,0.4,0.2,0.4,0.4472135955,0.2,0.3651483717,0.2,0.316227766,0.2,0.1690308509,0.2,0.4767312946,0.6,0.0,0.4,0.4,0.2,0.4,0.4,0.4,0.316227766,0.0,0.2,0.2,0.3872983346,0.0,0.4472135955,0.474341649,0.316227766,0.5590169944,0.5477225575,0.0,0.0,0.2828427125,0.4242640687,0.4045199175,0.4045199175,0.0,0.0,0.0,0.1054092553,0.1690308509,0.0,0.1490711985,0.0,0.0,0.0,0.2236067977,0.0,0.1414213562,0.2236067977,0.0,0.1690308509
삼성카드_&_MILEAGE_PLATINUM(스카이패스),0.4,1.0,0.0,0.2,0.2,0.4,0.0,0.2,0.4,0.2,0.4472135955,0.0,0.2,0.4,0.0,0.4,0.2,0.6,0.316227766,0.316227766,0.0,0.2,0.2,0.2,0.2581988897,0.2,0.4,0.6,0.2,0.0,0.4,0.1825741858,0.4,0.474341649,0.4,0.3380617019,0.4,0.3813850357,0.2,0.0,0.4,0.0,0.0,0.4,0.0,0.4,0.316227766,0.0,0.4,0.2,0.2581988897,0.5163977795,0.6708203932,0.474341649,0.158113883,0.3354101966,0.3651483717,0.316227766,0.2581988897,0.1414213562,0.1414213562,0.4045199175,0.269679945,0.4472135955,0.0,0.0,0.0,0.0,0.1690308509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
삼성_iD_달달할인_카드,0.2,0.0,1.0,0.2,0.2,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.4472135955,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3813850357,0.2,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2581988897,0.0,0.0,0.0,0.790569415,0.1118033989,0.0,0.0,0.0,0.5656854249,0.7071067812,0.0,0.6741998625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316227766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509
삼성_iD_EV_카드,0.0,0.2,0.2,1.0,0.2,0.2,0.0,0.0,0.2,0.2,0.4472135955,0.0,0.2,0.4,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.4,0.0,0.2,0.5163977795,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.316227766,0.2,0.1690308509,0.4,0.3813850357,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.4,0.1290994449,0.0,0.2236067977,0.316227766,0.158113883,0.2236067977,0.1825741858,0.0,0.0,0.0,0.1414213562,0.1348399725,0.269679945,0.0,0.0,0.1084652289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
삼성_iD_ON_카드,0.6,0.2,0.2,0.2,1.0,0.0,0.0,0.2,0.2,0.2,0.2236067977,0.0,0.2,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.6,0.6,0.8,0.2581988897,0.2,0.4,0.0,0.4,0.4472135955,0.0,0.3651483717,0.0,0.158113883,0.0,0.3380617019,0.2,0.4767312946,0.6,0.0,0.4,0.6,0.2,0.2,0.6,0.0,0.0,0.0,0.2,0.2,0.3872983346,0.0,0.2236067977,0.632455532,0.316227766,0.5590169944,0.5477225575,0.0,0.0,0.2828427125,0.4242640687,0.4045199175,0.53935989,0.0,0.0,0.1084652289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509
국민행복_삼성카드_V2,0.2,0.4,0.2,0.2,0.0,1.0,0.0,0.2,0.4,0.2,0.2236067977,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.2,0.0,0.2581988897,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.158113883,0.2,0.0,0.4,0.3813850357,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.4,0.316227766,0.0,0.2,0.2,0.3872983346,0.0,0.4472135955,0.316227766,0.316227766,0.3354101966,0.1825741858,0.0,0.0,0.5656854249,0.1414213562,0.269679945,0.269679945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
네이버페이_taptap,0.316227766,0.0,0.0,0.0,0.0,0.0,1.0,0.316227766,0.0,0.316227766,0.0,0.316227766,0.0,0.0,0.316227766,0.316227766,0.0,0.0,0.5,0.0,0.316227766,0.0,0.0,0.0,0.0,0.632455532,0.0,0.0,0.0,0.0,0.316227766,0.2886751346,0.316227766,0.5,0.316227766,0.2672612419,0.0,0.3015113446,0.316227766,0.5,0.0,0.0,0.0,0.0,0.0,0.316227766,0.0,0.0,0.0,0.0,0.0,0.0,0.3535533906,0.25,0.25,0.3535533906,0.2886751346,0.0,0.0,0.0,0.2236067977,0.0,0.2132007164,0.0,0.0,0.0,0.1666666667,0.2672612419,0.0,0.2357022604,0.0,0.0,0.0,0.3535533906,0.0,0.2236067977,0.3535533906,0.0,0.0
taptap_DIGITAL,0.2,0.2,0.0,0.0,0.2,0.2,0.316227766,1.0,0.2,0.6,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.4,0.2,0.4,0.0,0.0,0.3651483717,0.0,0.158113883,0.0,0.1690308509,0.2,0.4767312946,0.4,0.316227766,0.2,0.0,0.0,0.4,0.0,0.2,0.316227766,0.0,0.0,0.0,0.2581988897,0.0,0.4472135955,0.474341649,0.474341649,0.5590169944,0.1825741858,0.0,0.0,0.2828427125,0.1414213562,0.4045199175,0.4045199175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
삼성_iD_ALL_카드,0.4,0.4,0.4,0.2,0.2,0.4,0.0,0.2,1.0,0.2,0.2236067977,0.0,0.8,0.2,0.0,0.8,0.2,0.4,0.0,0.0,0.2,0.4,0.2,0.2,0.2581988897,0.0,0.2,0.2,0.4,0.4472135955,0.2,0.1825741858,0.2,0.158113883,0.2,0.0,0.8,0.3813850357,0.2,0.0,0.2,0.4,0.0,0.2,0.2,0.6,0.316227766,0.0,0.4,0.4,0.2581988897,0.0,0.4472135955,0.474341649,0.474341649,0.3354101966,0.1825741858,0.0,0.0,0.5656854249,0.4242640687,0.269679945,0.4045199175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316227766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509
삼성_iD_PET_카드,0.2,0.2,0.2,0.2,0.2,0.2,0.316227766,0.6,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.1825741858,0.0,0.158113883,0.0,0.1690308509,0.2,0.4767312946,0.2,0.316227766,0.2,0.0,0.0,0.2,0.0,0.2,0.316227766,0.0,0.0,0.0,0.1290994449,0.0,0.4472135955,0.474341649,0.632455532,0.3354101966,0.1825741858,0.0,0.0,0.2828427125,0.2828427125,0.1348399725,0.53935989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신한카드_MY_CAR,0.2236067977,0.4472135955,0.0,0.4472135955,0.2236067977,0.2236067977,0.0,0.0,0.2236067977,0.0,1.0,0.2236067977,0.4472135955,0.894427191,0.2236067977,0.2236067977,0.4472135955,0.6708203932,0.0,0.3535533906,0.2236067977,0.2236067977,0.2236067977,0.4472135955,0.2886751346,0.4472135955,0.2236067977,0.0,0.2236067977,0.0,0.4472135955,0.2041241452,0.4472135955,0.5303300859,0.4472135955,0.0,0.2236067977,0.3198010745,0.2236067977,0.0,0.4472135955,0.2236067977,0.0,0.4472135955,0.2236067977,0.4472135955,0.3535533906,0.3535533906,0.6708203932,0.4472135955,0.1443375673,0.2886751346,0.5,0.3535533906,0.0,0.25,0.6123724357,0.0,0.0,0.0,0.158113883,0.1507556723,0.3015113446,0.0,0.1507556723,0.0,0.0,0.0,0.0,0.0,0.0,0.2041241452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신한카드_Deep_Dream,0.2,0.0,0.0,0.0,0.0,0.0,0.316227766,0.2,0.0,0.0,0.2236067977,1.0,0.2,0.2,1.0,0.2,0.4,0.2,0.316227766,0.316227766,0.4,0.0,0.2,0.2,0.0,0.6,0.2,0.0,0.4,0.0,0.4,0.3651483717,0.4,0.474341649,0.4,0.1690308509,0.0,0.2860387768,0.2,0.316227766,0.2,0.2,0.0,0.4,0.4,0.4,0.316227766,0.316227766,0.2,0.0,0.2581988897,0.2581988897,0.0,0.0,0.0,0.3354101966,0.3651483717,0.0,0.0,0.0,0.0,0.269679945,0.1348399725,0.0,0.1348399725,0.0,0.1054092553,0.1690308509,0.0,0.1490711985,0.0,0.1825741858,0.0,0.2236067977,0.0,0.1414213562,0.2236067977,0.158113883,0.0
신한카드_Mr.Life,0.2,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.8,0.0,0.4472135955,0.2,1.0,0.4,0.2,0.6,0.4,0.4,0.0,0.316227766,0.4,0.4,0.2,0.4,0.2581988897,0.2,0.0,0.0,0.4,0.4472135955,0.4,0.1825741858,0.4,0.316227766,0.4,0.0,0.6,0.2860387768,0.2,0.0,0.2,0.6,0.0,0.2,0.4,0.6,0.316227766,0.316227766,0.6,0.4,0.1290994449,0.2581988897,0.2236067977,0.316227766,0.316227766,0.2236067977,0.3651483717,0.0,0.0,0.4242640687,0.4242640687,0.1348399725,0.4045199175,0.0,0.1348399725,0.0,0.0,0.0,0.0,0.0,0.316227766,0.1825741858,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509
신한카드_Deep_Oil,0.4,0.4,0.0,0.4,0.4,0.2,0.0,0.0,0.2,0.0,0.894427191,0.2,0.4,1.0,0.2,0.2,0.6,0.6,0.0,0.316227766,0.2,0.4,0.4,0.6,0.2581988897,0.4,0.2,0.0,0.2,0.0,0.4,0.3651483717,0.4,0.474341649,0.4,0.0,0.2,0.3813850357,0.4,0.0,0.4,0.4,0.2,0.4,0.4,0.4,0.316227766,0.316227766,0.6,0.6,0.2581988897,0.2581988897,0.4472135955,0.474341649,0.0,0.3354101966,0.7302967433,0.0,0.0,0.0,0.2828427125,0.269679945,0.269679945,0.0,0.1348399725,0.0,0.0,0.0,0.0,0.0,0.0,0.1825741858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신한카드_Deep_Dream_Platinum+,0.2,0.0,0.0,0.0,0.0,0.0,0.316227766,0.2,0.0,0.0,0.2236067977,1.0,0.2,0.2,1.0,0.2,0.4,0.2,0.316227766,0.316227766,0.4,0.0,0.2,0.2,0.0,0.6,0.2,0.0,0.4,0.0,0.4,0.3651483717,0.4,0.474341649,0.4,0.1690308509,0.0,0.2860387768,0.2,0.316227766,0.2,0.2,0.0,0.4,0.4,0.4,0.316227766,0.316227766,0.2,0.0,0.2581988897,0.2581988897,0.0,0.0,0.0,0.3354101966,0.3651483717,0.0,0.0,0.0,0.0,0.269679945,0.1348399725,0.0,0.1348399725,0.0,0.1054092553,0.1690308509,0.0,0.1490711985,0.0,0.1825741858,0.0,0.2236067977,0.0,0.1414213562,0.2236067977,0.158113883,0.0
신한_Hi-Point_카드,0.6,0.4,0.2,0.2,0.2,0.4,0.316227766,0.2,0.8,0.2,0.2236067977,0.2,0.6,0.2,0.2,1.0,0.2,0.4,0.316227766,0.0,0.2,0.4,0.2,0.2,0.2581988897,0.2,0.2,0.2,0.4,0.4472135955,0.4,0.1825741858,0.4,0.316227766,0.4,0.1690308509,0.6,0.4767312946,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.8,0.316227766,0.0,0.4,0.4,0.2581988897,0.0,0.4472135955,0.474341649,0.316227766,0.4472135955,0.3651483717,0.0,0.0,0.4242640687,0.2828427125,0.269679945,0.269679945,0.0,0.0,0.0,0.1054092553,0.1690308509,0.0,0.1490711985,0.0,0.0,0.0,0.2236067977,0.0,0.1414213562,0.2236067977,0.0,0.1690308509
알뜰교통_신한카드,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.4472135955,0.4,0.4,0.6,0.4,0.2,1.0,0.2,0.0,0.316227766,0.4,0.2,0.6,0.6,0.0,0.4,0.2,0.0,0.2,0.0,0.2,0.7302967433,0.2,0.316227766,0.2,0.0,0.2,0.3813850357,0.6,0.0,0.4,0.4,0.2,0.4,0.4,0.4,0.316227766,0.316227766,0.6,0.4,0.5163977795,0.2581988897,0.2236067977,0.474341649,0.0,0.3354101966,0.5477225575,0.0,0.0,0.1414213562,0.4242640687,0.53935989,0.269679945,0.0,0.1348399725,0.0,0.0,0.0,0.0,0.0,0.0,0.1825741858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신한카드_RPM+,0.2,0.6,0.0,0.4,0.0,0.4,0.0,0.2,0.4,0.2,0.6708203932,0.2,0.4,0.6,0.2,0.4,0.2,1.0,0.316227766,0.316227766,0.2,0.2,0.0,0.2,0.2581988897,0.2,0.2,0.4,0.4,0.0,0.6,0.0,0.6,0.316227766,0.6,0.1690308509,0.4,0.3813850357,0.0,0.0,0.4,0.2,0.0,0.4,0.2,0.6,0.632455532,0.316227766,0.4,0.4,0.1290994449,0.5163977795,0.4472135955,0.316227766,0.158113883,0.2236067977,0.3651483717,0.316227766,0.2581988897,0.1414213562,0.0,0.269679945,0.269679945,0.2236067977,0.1348399725,0.0,0.0,0.0,0.1690308509,0.0,0.0,0.1825741858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
